# test
22,14,5
6,4,15
2,16,19
16,7,3
2,0,6
21,14,1
13,10,19
21,12,6
5,19,2
3,16,2
13,9,11
7,3,22
9,23,13
19,14,1
23,25,14
1,5,0
5,11,1
20,0,14
2,22,14
9,23,7
21,7,22
12,21,13
24,13,14
2,0,0
19,19,20
10,25,18
19,4,0
12,24,16
3,20,21
9,13,19
15,8,2
10,1,23
17,14,8
4,9,24
11,22,8
4,24,1
22,0,19
25,20,22
3,0,24
0,4,13
19,3,24
18,0,25
19,21,16
12,20,2
3,11,12
13,10,25
4,22,20
25,23,25
10,20,16
0,18,24
14,25,22
3,21,1
17,5,22
19,2,19
18,14,16
2,0,19
10,0,21
7,22,14
15,3,4
2,2,4
14,22,0
17,25,4
19,6,11
23,23,15
0,22,11
21,10,16
20,6,24
5,11,17
10,8,12
18,13,18
0,21,22
18,11,2
12,18,0
21,23,8
4,20,10
14,18,12
19,21,20
21,19,20
3,2,21
21,17,21
6,17,13
11,1,7
18,24,22
19,12,9
18,2,17
12,23,13
24,9,5
25,8,2
17,13,14
24,18,6
3,18,6
15,0,22
21,4,12
10,17,17
3,16,22
17,10,13
18,14,12
3,11,10
21,18,19
2,19,23
10,20,8
16,4,11
24,14,6
12,25,14
7,20,11
7,20,11
16,5,10
20,16,5
5,0,19
24,12,22
25,1,7
3,1,22
17,2,24
4,17,25
23,4,3
2,16,18
6,9,17
24,21,15
20,20,19
14,1,7
21,17,16
18,9,6
5,2,23
16,2,0
3,15,24
5,2,4
8,0,15
20,23,12
8,23,7
24,23,24
6,1,10
1,25,21
0,0,1
20,25,1
15,0,14
1,1,24
11,7,21
2,20,4
15,21,23
4,24,9
11,20,12
5,5,16
1,9,10
12,18,14
2,3,12
4,4,14
21,22,1
2,4,13
12,9,14
19,17,0
19,3,15
20,10,0
8,5,19
14,2,11
17,16,0
15,8,23
19,7,19
24,25,22
17,10,4
16,1,16
12,16,10
17,16,23
11,25,1
14,12,8
8,13,15
13,14,25
25,11,25
4,17,17
0,0,5
11,12,17
18,5,19
13,20,17
12,20,16
16,2,21
7,2,7
6,24,7
16,3,6
5,22,13
4,24,2
7,24,19
4,1,6
6,1,15
2,15,22
10,10,0
22,19,16
5,25,1
9,4,14
0,8,3
21,9,6
15,13,13
19,4,17
8,10,1
5,6,0
21,24,19
12,19,16
17,7,15
9,6,0
8,21,4
7,9,12
18,17,3
18,6,20
2,13,17
4,20,14
23,17,5
19,23,14
20,14,0
0,14,23
23,8,2
10,0,3
17,18,21
17,4,15
24,14,9
4,23,25
18,14,12
23,7,2
0,14,5
19,19,20
24,25,22
3,3,22
2,2,16
16,21,5
14,15,6
15,1,6
16,25,4
1,6,15
13,11,21
6,8,25
4,7,8
0,21,18
22,22,1
11,6,14
14,14,9
0,22,17
8,3,10
25,19,22
9,15,15
21,24,13
16,7,8
18,6,3
16,25,15
25,6,17
2,25,2
3,3,13
1,9,14
15,1,25
22,14,24
21,12,5
3,25,25
10,0,13
13,11,12
10,10,25
24,16,16
3,15,20
2,0,0
8,1,1
25,23,13
0,3,3
12,17,15
20,4,25
23,6,16
4,21,6
8,6,19
14,11,9
25,21,10
10,8,17
16,0,23
22,14,6
0,21,25
10,24,18
15,1,17
18,19,8
3,7,11
6,0,15
15,1,18
22,18,5
15,25,17
2,24,20
1,12,8
2,14,13
22,9,0
5,8,10
8,18,3
19,8,17
20,16,0
23,18,16
9,14,21
1,0,11
20,7,14
3,12,0
10,19,20
11,1,21
17,25,16
4,22,8
0,15,24
0,16,17
22,3,1
12,6,2
4,5,2
10,18,21
8,19,16
25,20,23
4,10,22
24,12,22
10,15,22
12,3,24
14,4,21
7,1,20
0,8,1
24,23,8
23,10,6
1,13,25
5,15,5
1,18,25
10,20,4
5,22,1
6,12,8
9,20,9
0,11,4
19,2,12
13,3,14
14,15,9
16,25,11
14,10,25
4,4,2
5,24,23
10,17,2
17,4,21
0,23,3
3,7,5
8,8,0
0,24,17
18,6,12
21,16,21
19,6,20
7,2,20
5,4,10
7,23,6
4,15,22
10,11,8
22,12,6
24,17,15
0,8,18
10,21,24
7,5,25
19,18,6
20,23,20
9,15,3
5,0,7
21,24,10
0,6,16
8,3,0
12,4,22
10,5,14
4,3,16
20,10,14
23,3,17
15,21,15
8,25,25
8,21,11
20,1,7
4,1,13
9,10,18
8,25,17
6,20,25
0,16,7
23,5,21
22,5,16
3,5,0
3,24,20
23,13,7
19,22,6
8,8,16
1,1,3
25,2,5
14,14,15
0,16,10
8,15,16
12,12,15
15,12,21
11,5,2
18,4,6
20,14,4
2,6,13
13,6,12
7,5,17
1,2,11
4,9,25
5,0,12
13,12,25
13,0,18
14,3,3
13,0,0
5,18,7
17,20,4
2,7,7
17,10,14
5,2,19
21,20,8
16,16,7
3,16,23
23,21,13
1,11,13
19,0,8
19,2,19
16,9,20
4,0,19
24,5,19
7,4,23
15,25,2
25,9,14
0,12,6
21,14,18
3,9,11
20,9,24
18,6,23
20,16,1
18,23,1
13,15,20
3,6,13
7,7,0
19,4,12
4,15,21
25,12,23
1,10,25
1,4,11
4,2,7
17,13,8
17,6,13
20,6,21
13,23,19
6,4,7
22,11,14
2,25,0
22,6,0
16,13,24
22,24,2
4,11,3
5,1,18
23,4,10
14,4,10
21,12,2
20,13,6
7,15,15
10,10,21
11,2,15
6,21,19
11,23,12
12,25,20
15,24,23
7,12,0
15,12,10
13,9,12
19,21,3
13,2,17
3,20,7
10,5,15
2,10,23
16,22,16
13,8,6
16,17,4
3,24,10
23,10,16
22,6,11
0,11,21
20,17,0
18,3,12
25,5,19
19,16,16
4,7,4
5,14,14
19,11,17
17,19,0
11,23,5
1,5,15
0,12,1
1,0,25
9,25,17
17,12,7
2,15,1
4,22,10
1,4,13
19,12,13
25,2,22
19,19,20
12,6,25
4,14,23
6,0,17
19,25,6
22,15,9
20,7,25
21,25,6
10,7,21
22,3,18
16,7,8
21,25,18
11,24,18
0,7,7
18,9,19
8,21,0
15,21,23
13,2,18
12,13,5
3,6,7
9,3,25
22,23,16
16,17,1
16,3,12
15,9,4
24,7,25
12,3,15
23,15,6
23,2,11
18,16,12
3,14,1
20,11,15
2,3,5
2,24,10
19,25,5
21,18,6
4,2,17
15,3,6
8,22,0
22,25,12
18,1,11
13,21,24
2,4,3
20,3,12
25,6,10
24,24,21
4,11,17
6,2,12
21,18,25
6,25,3
2,0,0
5,21,8
9,7,3
1,15,0
4,11,19
24,20,11
11,4,21
9,3,2
12,22,9
13,0,2
12,9,17
18,20,10
0,24,25
12,0,25
21,7,10
22,7,6
10,3,11
17,12,15
16,15,19
16,14,15
0,1,21
15,2,19
8,1,10
19,11,3
6,10,25
0,8,6
17,8,1
24,9,0
15,4,12
12,13,9
23,21,25
22,13,3
20,20,2
23,9,13
23,13,8
16,15,8
2,18,19
25,2,14
4,3,4
12,14,18
3,7,9
17,24,25
15,12,11
14,9,16
